Date,AAPL,MSFT,GOOGL,META,NVDA,ADBE,CRM,INTC,AMD,CSCO,AVGO,TXN,QCOM,AMAT,MU,AMGN,GILD,REGN,VRTX,BIIB,ILMN,DXCM,AMZN,TSLA,COST,PEP,SBUX,MDLZ,KHC,MNST,PYPL,ISRG,MELI,FTNT,NFLX,HON,CSX,ODFL,FAST,PAYX,CMCSA,TMUS,CHTR,XEL,AEP,EXC,FANG,MTDR,RRC,IDXX
2018-01-23,130756400,23412800,39138000,25678800,475228000,3981000,2816800,22135100,46417200,23984500,35398000,8087100,7825600,8813500,41334100,3486700,7198800,842200,3058700,1186200,853240,4016400,103386000,81981000,2316400,3536900,10806800,6831600,2833000,4999000,9736400,1699200,467400,13508000,277053000,4319943,29634000,1465800,11826000,6875500,20438919,2872400,1043100,3110300,3888500,9026637,1152400,1358900,8813200,427000
2018-01-24,204420400,33277500,37128000,24334500,579972000,3250500,4975500,32464200,41956400,26696200,45405000,19223900,12383100,11787300,31305700,2765700,4530500,712900,2492700,1512600,869688,5090800,136150000,79312500,2799200,3445200,11911900,6794200,3119600,4277800,8735700,3024600,523000,6414000,173524000,2938854,19671000,2494800,21935200,3229700,52196360,2894300,1758300,2384600,3519600,7695157,1542400,1220800,8500800,522600
2018-01-25,166116000,26383200,29984000,17377700,409884000,2574200,4715100,36758700,42966600,19207500,59520000,8564800,9122200,15271900,40519200,2470300,4708000,869800,1270600,1863000,630370,2988400,95060000,101104500,3558700,2712900,16225600,7402900,2927300,5345000,7268300,3937200,536900,3783000,153364000,4519977,28446900,1585200,16566800,1880600,29661640,2798500,981800,3688700,3721100,9659359,1311100,784200,33161100,396300
2018-01-26,156572000,29172200,42170000,17759200,516356000,2338100,3927400,86916100,44239000,23380400,49014000,7801600,7919000,11253500,27177500,3920300,14617200,1429600,1495100,2232700,697395,4273600,97146000,68091000,2756200,3993900,51851700,5733000,4772400,3516800,7840300,5459700,926900,6188500,110218000,5556901,18245700,1135500,10681200,1720300,29875893,2028400,1228500,2656100,4900600,10535609,664400,832200,9475900,373600
2018-01-29,202561600,31569900,31494000,20453200,455116000,1939000,3181500,46304000,66645400,23625900,50401000,6389300,9745300,12350600,29455000,4565700,19411600,1095200,1828700,1317200,800812,4640000,114038000,71206500,2031100,3854700,18899900,10451700,3280500,6183600,8198900,2629800,1078100,8337000,175297000,4062456,12499500,1597500,9531600,1263100,23003773,2553600,925600,3613300,5796100,6524908,962000,578300,11859600,412300
2018-01-30,184192800,38635100,37338000,20858600,570832000,3343300,3737700,32814600,91236400,28993900,46002000,6492900,8059500,14603700,38861900,3990800,14001200,603700,2184600,1127800,1093175,4208800,117438000,70765500,2285000,4945200,14341200,7110700,3334300,4858000,7864500,3218700,659100,6633500,124829000,4304224,19206000,1211400,11010000,1415100,22832306,2017700,1241600,3167300,4216000,6458874,1514800,960300,19163100,481400
2018-01-31,129915600,48756300,36022000,43275100,478576000,2747600,4181800,41619900,140977800,36512100,80482000,7362500,13915600,13166800,45114600,4677700,12790800,848700,2323800,1398000,1809794,3370000,128494000,93211500,2682300,4018100,13118400,14784000,4855700,5009200,15221400,2477700,361100,7181000,116951000,3641908,18598800,1704900,14206000,2135700,28730362,2164900,2152800,3526900,3754400,14126131,1247700,999300,13373700,659000
2018-02-01,188923200,47227900,73514000,54211300,519224000,2366100,4302800,28840400,67543300,26148500,66851000,5828200,16838500,9706000,35713500,4078100,7305100,2403100,5090000,1372900,970329,2882800,182276000,62965500,2096600,3485600,14690100,20120900,3119800,3820200,44271600,2119500,402800,7192500,96690000,3048115,12237300,1409400,12734800,2737900,28260455,4258500,1928200,4498200,2968600,6862089,969000,698900,11451400,859200
2018-02-02,346375200,47867800,117842000,26677500,718464000,2813800,4403800,28663000,79432600,27224200,58352000,7474400,10971700,16813100,40657400,7029400,9356300,1546600,3455100,1095000,1581886,3405200,222514000,55572000,2386600,3348900,15358900,10937100,5239700,6236600,21979800,2818800,590700,7533000,91236000,4659016,27827400,1811700,10736000,3252900,34176650,2647200,4374900,2924400,2800200,7758107,1554800,1529400,12546000,770600
2018-02-05,290954000,51031500,83550000,33128200,1165204000,3801300,6124000,47869000,116568900,52399600,70776000,8460400,35996000,17999700,45796800,6922800,10810400,1297000,2906900,1541300,1525552,3104000,229900000,66961500,3407200,5347600,16060000,14324200,5372900,6678400,18810600,3765900,610800,14270000,118961000,6389805,27210600,2822400,18331600,3601300,45205909,3489600,2872600,3978800,4146500,9817225,1807200,1758500,13362400,1240100
