Date,AAPL,MSFT,GOOGL,META,NVDA,ADBE,CRM,INTC,AMD,CSCO,AVGO,TXN,QCOM,AMAT,MU,AMGN,GILD,REGN,VRTX,BIIB,ILMN,DXCM,AMZN,TSLA,COST,PEP,SBUX,MDLZ,KHC,MNST,PYPL,ISRG,MELI,FTNT,NFLX,HON,CSX,ODFL,FAST,PAYX,CMCSA,TMUS,CHTR,XEL,AEP,EXC,FANG,MTDR,RRC,IDXX
2018-01-02,40.30417251586914,78.870361328125,53.22063064575195,180.0074005126953,4.928264617919922,177.6999969482422,102.89928436279297,39.33038330078125,10.979999542236328,30.2695369720459,21.086660385131836,83.80709838867188,52.614017486572266,48.37424850463867,42.59078598022461,137.775146484375,54.54402160644531,380.0325927734375,152.91000366210938,334.1700134277344,217.92800903320312,14.4975004196167,59.45050048828125,21.368667602539062,168.49822998046875,91.6028060913086,48.09031677246094,34.69894790649414,51.68663024902344,31.354999542236328,73.44731903076172,125.08333587646484,322.5799865722656,8.869999885559082,20.10700035095215,117.08692932128906,16.811105728149414,43.19444274902344,11.005592346191406,52.53703308105469,30.82059669494629,61.5733528137207,348.9700012207031,37.154205322265625,54.10137939453125,21.18340301513672,98.3003921508789,29.374343872070312,16.91023063659668,157.80999755859375
2018-01-03,40.297157287597656,79.23743438720703,54.12862777709961,183.23211669921875,5.2526140213012695,181.0399932861328,103.76653289794922,37.995582580566406,11.550000190734863,30.51099967956543,21.3172607421875,86.07754516601562,53.211181640625,49.23157501220703,43.86841583251953,140.37498474121094,54.95622253417969,391.1376037597656,152.00999450683594,339.8500061035156,224.04669189453125,14.520000457763672,60.209999084472656,21.149999618530273,170.52024841308594,91.36226654052734,48.991519927978516,34.83803176879883,51.67991638183594,31.559999465942383,76.34184265136719,127.94000244140625,329.2799987792969,9.005999565124512,20.5049991607666,116.11953735351562,17.0229549407959,43.23941421508789,11.00963306427002,53.294124603271484,30.3253173828125,61.159915924072266,353.0299987792969,36.905540466308594,53.6456184387207,20.899818420410156,99.2920150756836,29.681201934814453,16.806432723999023,162.0500030517578
2018-01-04,40.48433303833008,79.93479919433594,54.338890075683594,182.89474487304688,5.280303001403809,183.22000122070312,105.13642883300781,37.29880905151367,12.119999885559082,30.597320556640625,21.324371337890625,85.96641540527344,53.28380584716797,49.51430130004883,45.72145462036133,139.78341674804688,54.39681625366211,380.38031005859375,153.07000732421875,339.989990234375,226.6439666748047,13.0625,60.47949981689453,20.974666595458984,169.19606018066406,91.81229400634766,49.175113677978516,34.919857025146484,52.283878326416016,31.68000030517578,76.32195281982422,125.63999938964844,325.8800048828125,8.800000190734863,20.562999725341797,117.68870544433594,16.942394256591797,43.49324035644531,11.054025650024414,53.793663024902344,30.520427703857422,60.57341003417969,349.7900085449219,36.61799240112305,53.01052474975586,20.60552406311035,100.02995300292969,29.988061904907227,16.419536590576172,163.9600067138672
2018-01-05,40.94525909423828,80.92586517333984,55.05943298339844,185.39511108398438,5.325049877166748,185.33999633789062,106.53587341308594,37.559043884277344,11.880000114440918,31.021089553833008,21.45073127746582,86.62528991699219,53.63888168334961,49.797027587890625,44.668148040771484,140.61630249023438,54.8531608581543,382.5158386230469,155.69000244140625,342.489990234375,221.9552459716797,13.3149995803833,61.457000732421875,21.10533332824707,167.98818969726562,92.07608795166016,49.742549896240234,35.369842529296875,52.236900329589844,31.7450008392334,78.2814712524414,126.336669921875,330.8699951171875,8.819999694824219,20.999000549316406,118.51139068603516,17.222881317138672,43.888431549072266,11.07621955871582,53.629756927490234,30.798095703125,62.111778259277344,350.8800048828125,36.36153793334961,52.89846420288086,20.434307098388672,99.91464233398438,29.3371524810791,15.815597534179688,166.60000610351562
2018-01-08,40.793174743652344,81.00843811035156,55.25382614135742,186.81398010253906,5.488213062286377,185.0399932861328,107.2848892211914,37.559043884277344,12.279999732971191,31.342844009399414,21.502058029174805,87.03807830810547,53.47747802734375,51.00091552734375,44.42433547973633,140.57742309570312,54.76485824584961,370.020263671875,156.88999938964844,329.6499938964844,220.87548828125,13.859999656677246,62.34349822998047,22.42733383178711,168.64134216308594,91.54847717285156,49.49222183227539,35.189849853515625,52.66640090942383,32.01499938964844,78.6296157836914,130.6199951171875,340.7900085449219,9.0,21.204999923706055,117.87152099609375,17.52723503112793,44.32538604736328,11.19326114654541,53.294124603271484,30.377851486206055,62.592529296875,356.54998779296875,36.6335334777832,53.36170196533203,20.653682708740234,100.69105529785156,29.932266235351562,15.900521278381348,165.0800018310547
2018-01-09,40.78850555419922,80.95338439941406,55.183406829833984,186.4071502685547,5.486729621887207,186.6999969482422,107.5706787109375,36.618812561035156,11.819999694824219,31.146642684936523,21.20433807373047,87.63346862792969,52.670501708984375,50.03416442871094,41.908077239990234,142.74130249023438,57.48838424682617,366.1762390136719,156.00999450683594,336.3599853515625,236.186767578125,13.649999618530273,62.6349983215332,22.246000289916992,166.68182373046875,91.61832427978516,49.38374328613281,35.17348861694336,52.76034927368164,32.7400016784668,78.76886749267578,132.53334045410156,337.6499938964844,8.86400032043457,20.930999755859375,118.83897399902344,17.682395935058594,44.81052780151367,11.171058654785156,52.935081481933594,30.47540283203125,63.0732536315918,354.760009765625,36.206111907958984,52.73408889770508,20.418256759643555,98.00059509277344,29.346452713012695,16.09869384765625,165.72999572753906
2018-01-10,40.779144287109375,80.58628845214844,55.05199432373047,186.3773956298828,5.529745101928711,187.11000061035156,107.22575378417969,35.678585052490234,11.960000038146973,31.319307327270508,20.756561279296875,87.085693359375,52.66244888305664,48.61138153076172,42.239688873291016,142.33656311035156,57.93738555908203,364.00091552734375,157.3800048828125,336.7200012207031,235.98248291015625,14.649999618530273,62.71649932861328,22.31999969482422,165.90342712402344,91.15277862548828,49.91778564453125,34.87893295288086,52.27044677734375,31.795000076293945,78.94791412353516,141.25332641601562,339.54998779296875,8.819999694824219,21.25200080871582,119.66163635253906,17.44965171813965,44.30288314819336,10.979361534118652,52.716556549072266,30.835613250732422,61.42912673950195,350.8299865722656,35.84864044189453,51.927181243896484,20.305891036987305,97.84686279296875,29.597515106201172,15.834467887878418,166.13999938964844
2018-01-11,41.010772705078125,80.82492065429688,55.1467170715332,186.30795288085938,5.539634704589844,188.9199981689453,107.52140808105469,36.44252014160156,12.140000343322754,31.468393325805664,20.809465408325195,87.85575866699219,52.799625396728516,48.520179748535156,41.76179885864258,141.63597106933594,58.19501495361328,365.7888488769531,158.39999389648438,333.07000732421875,233.501953125,14.555000305175781,63.83399963378906,22.530000686645508,169.4465789794922,90.68721771240234,50.067989349365234,34.78076171875,51.760433197021484,31.979999542236328,79.32588958740234,140.4566650390625,342.0199890136719,8.85200023651123,21.724000930786133,120.29383087158203,17.512313842773438,45.237850189208984,11.116581916809082,52.185791015625,31.968782424926758,61.38105773925781,355.2699890136719,35.374595642089844,51.35185623168945,20.55202865600586,99.85315704345703,30.434396743774414,16.296857833862305,171.50999450683594
2018-01-12,41.43426513671875,82.21971893310547,56.069087982177734,177.97335815429688,5.512438774108887,195.0500030517578,108.6449203491211,36.299808502197266,12.020000457763672,32.072654724121094,20.87185287475586,89.48313903808594,52.7592887878418,48.74818420410156,41.75204086303711,144.0333709716797,58.16556167602539,364.49755859375,157.92999267578125,335.95001220703125,238.05447387695312,14.1875,65.26000213623047,22.4146671295166,171.64767456054688,91.0751953125,50.40176773071289,34.74802780151367,51.90807342529297,31.885000228881836,80.11168670654297,139.67999267578125,342.4700012207031,8.98799991607666,22.12299919128418,121.16986083984375,17.679414749145508,45.809749603271484,11.217474937438965,52.81020736694336,31.84870719909668,61.22721481323242,354.0,35.08706283569336,50.40298080444336,20.541318893432617,100.03762817382812,30.452991485595703,16.58938980102539,173.24000549316406
2018-01-16,41.223690032958984,81.07266235351562,56.07156753540039,177.00100708007812,5.441488742828369,192.4600067138672,107.314453125,36.21585464477539,11.90999984741211,31.81368064880371,20.789722442626953,89.64190673828125,55.07528305053711,49.70582580566406,41.859317779541016,144.42259216308594,59.070960998535156,367.72576904296875,155.7100067138672,338.8500061035156,234.8443603515625,14.102499961853027,65.24299621582031,22.67066764831543,171.3703155517578,91.4476089477539,50.53529357910156,35.17348861694336,52.77376937866211,32.279998779296875,79.99232482910156,140.02333068847656,339.8500061035156,8.868000030517578,22.152999877929688,120.2710189819336,17.3452205657959,45.68123245239258,11.187203407287598,53.27851104736328,31.383438110351562,60.5445671081543,352.92999267578125,35.195865631103516,50.4328727722168,20.584125518798828,98.40802764892578,29.9229736328125,15.834467887878418,176.10000610351562
