Date,KLAC,LRCX,SNPS,CDNS,PANW,MRVL,NXPI,IDXX,ALNY,INCY,HOLX,EXAS,BMRN,LULU,ROST,EBAY,ORLY,DLTR,MS,BX,MCO,MSCI,VRSK,EXPD,CSGP,POOL,CCOI,IRDM,SIRI,EVRG,NWE,MSEX,MTDR,RRC,AR
2018-01-02,93.71002197265625,16.871253967285156,86.02999877929688,42.04999923706055,24.758333206176758,21.104076385498047,104.27535247802734,157.80999755859375,131.85000610351562,100.88999938964844,42.869998931884766,51.790000915527344,91.02999877929688,79.69000244140625,74.18936920166016,33.75912094116211,16.617332458496094,108.69000244140625,40.83972930908203,23.258270263671875,135.8315887451172,116.98184967041016,91.35810089111328,59.051517486572266,29.679000854492188,119.17216491699219,29.59246826171875,10.898188591003418,42.59415054321289,39.09284210205078,41.03450393676758,33.558998107910156,29.374347686767578,16.91023063659668,19.780000686645508
2018-01-03,94.8049087524414,17.15825843811035,87.05999755859375,42.93000030517578,24.946666717529297,21.760009765625,104.39028930664062,162.0500030517578,134.64999389648438,100.9800033569336,43.4900016784668,55.83000183105469,92.08000183105469,78.58999633789062,74.14328002929688,34.788047790527344,16.922666549682617,108.0199966430664,40.949275970458984,23.601560592651367,138.36915588378906,118.75927734375,91.09117889404297,59.1333122253418,30.75,119.04493713378906,29.625606536865234,11.03911304473877,42.59415054321289,38.489601135253906,40.689613342285156,33.02671432495117,29.681203842163086,16.80643081665039,19.780000686645508
2018-01-04,94.97265625,17.236698150634766,87.88999938964844,43.58000183105469,24.876667022705078,22.254337310791016,104.20465850830078,163.9600067138672,131.9600067138672,98.44000244140625,43.77000045776367,56.13999938964844,90.31999969482422,79.8499984741211,74.56722259521484,34.21149444580078,17.178667068481445,108.86000061035156,41.57530212402344,23.78751564025879,140.9160919189453,120.62834930419922,91.54878997802734,59.06969451904297,30.910999298095703,119.9625473022461,29.691884994506836,11.22701358795166,43.41168975830078,38.3277587890625,40.43623733520508,32.794918060302734,29.98805809020996,16.419540405273438,19.799999237060547
2018-01-05,97.00350952148438,17.505884170532227,88.93000030517578,43.9900016784668,25.4950008392334,21.864578247070312,104.3637924194336,166.60000610351562,127.7300033569336,99.8499984741211,43.97999954223633,57.529998779296875,90.2699966430664,79.43000030517578,75.54412078857422,35.204933166503906,17.351999282836914,111.13999938964844,41.55965042114258,23.608718872070312,143.2584686279297,121.8835678100586,92.35911560058594,59.15148162841797,31.138999938964844,120.10794067382812,29.691884994506836,11.320962905883789,43.5752067565918,38.00407028198242,40.408077239990234,32.33991622924805,29.337154388427734,15.81560230255127,19.440000534057617
2018-01-08,97.26840209960938,17.63779640197754,89.76000213623047,44.91999816894531,25.608333587646484,22.02618980407715,104.5671157836914,165.0800018310547,129.17999267578125,100.80999755859375,44.41999816894531,49.904998779296875,88.63999938964844,79.04000091552734,74.85294342041016,35.30250549316406,17.333332061767578,109.0999984741211,41.387489318847656,23.801820755004883,144.1415252685547,122.04849243164062,92.47351837158203,59.50590896606445,31.39699935913086,119.45378875732422,30.122676849365234,11.320962905883789,43.41168975830078,38.0482063293457,40.68257522583008,33.636268615722656,29.93226432800293,15.900527000427246,19.540000915527344
2018-01-09,96.42074584960938,17.61016845703125,89.69000244140625,45.06999969482422,25.38166618347168,22.007173538208008,104.7173843383789,165.72999572753906,130.74000549316406,96.29000091552734,44.220001220703125,52.470001220703125,89.13999938964844,79.51000213623047,74.19857788085938,35.06301498413086,17.417333602905273,109.69000244140625,41.70833206176758,24.13081169128418,145.11752319335938,122.86392211914062,92.21614074707031,60.02391052246094,31.465999603271484,119.45378875732422,29.890703201293945,11.555837631225586,43.41168975830078,38.438106536865234,40.41511154174805,33.28427505493164,29.346452713012695,16.098691940307617,19.420000076293945
2018-01-10,93.84247589111328,17.083389282226562,89.33999633789062,44.84000015258789,25.510000228881836,21.997669219970703,105.33625793457031,166.13999938964844,128.60000610351562,96.62000274658203,43.560001373291016,53.959999084472656,88.37000274658203,78.86000061035156,74.35525512695312,33.43981170654297,17.229999542236328,109.62999725341797,42.201316833496094,24.445497512817383,143.89987182617188,122.54326629638672,91.84432983398438,59.46955108642578,31.444000244140625,118.44530487060547,29.36050033569336,11.273988723754883,45.455562591552734,37.5185432434082,39.563446044921875,32.545963287353516,29.597518920898438,15.834470748901367,19.1200008392334
2018-01-11,93.80713653564453,16.856992721557617,89.70999908447266,44.869998931884766,25.69333267211914,22.007173538208008,105.42464447021484,171.50999450683594,128.0500030517578,93.05999755859375,43.54999923706055,55.060001373291016,89.9800033569336,78.98999786376953,76.08789825439453,33.53738021850586,17.316667556762695,111.3499984741211,42.41259765625,24.695817947387695,144.74569702148438,123.46859741210938,92.15892791748047,60.3328857421875,31.731000900268555,119.49014282226562,29.824440002441406,11.41491413116455,44.965023040771484,37.27577209472656,39.47195053100586,32.43434524536133,30.43439292907715,16.296857833862305,19.579999923706055
2018-01-12,94.73426818847656,16.802616119384766,90.37000274658203,45.06999969482422,25.586666107177734,22.66311264038086,105.7164077758789,173.24000549316406,129.07000732421875,94.06999969482422,43.709999084472656,52.619998931884766,90.22000122070312,78.83999633789062,77.02790832519531,33.72364807128906,17.239999771118164,114.83999633789062,43.132511138916016,25.310894012451172,146.1678924560547,124.50389099121094,92.95016479492188,60.64186477661133,32.20199966430664,119.2084732055664,30.02326202392578,11.93163776397705,44.8015022277832,36.996219635009766,38.99333572387695,32.08236312866211,30.452983856201172,16.589387893676758,19.8700008392334
2018-01-16,95.06097412109375,16.97018814086914,89.2699966430664,44.279998779296875,25.266666412353516,22.415950775146484,105.55726623535156,176.10000610351562,124.63999938964844,91.6500015258789,43.75,52.95000076293945,90.23999786376953,76.69999694824219,74.53036499023438,33.42206573486328,17.19266700744629,112.87999725341797,42.72560119628906,25.046268463134766,144.56912231445312,123.07465362548828,92.6641616821289,59.496822357177734,31.9060001373291,116.97347259521484,29.459918975830078,11.696763038635254,43.983978271484375,37.400821685791016,37.94459915161133,31.89350128173828,29.9229679107666,15.834470748901367,19.780000686645508
