Date,AAPL,MSFT,GOOGL,META,NVDA,ADBE,CRM,NFLX,AMD,FTNT,AVGO,TXN,QCOM,AMAT,MU,AMGN,GILD,REGN,VRTX,ISRG,ILMN,DXCM,AMZN,TSLA,COST,PEP,SBUX,MDLZ,MELI,MNST,PYPL,JPM,SPGI,BLK,V,HON,CSX,ODFL,FAST,PAYX,CMCSA,TMUS,CHTR,XEL,AEP,EXC,FANG,XOM,MTDR,IDXX
2018-01-03,-0.00017405713844387272,0.004654035996809247,0.017060927419184413,0.01791418386000121,0.06581421128574516,0.01879570284327836,0.008428279437716402,0.019794042018585145,0.05191262953208109,0.01533254580835397,0.010936202425529506,0.027091069048001293,0.011349834344128062,0.01772239001891096,0.029997888923332106,0.01886970699840096,0.007557284421532806,0.02922112415661271,-0.00588587491804804,0.022838106650455048,0.02807662442506831,0.0015519943090691601,0.012775310383486449,-0.010233112708571857,0.012001053728088351,-0.002625647323051594,0.018740203038300596,0.004008853888846531,0.020770080246532263,0.006538029873988993,0.039409520439992685,0.0010190731159647193,0.016059728042078003,0.01055108403460192,0.009955440348618616,-0.008262363685920815,0.01260208353661163,0.001041493625322465,0.00036706463197089256,0.014410700461347403,-0.016070060348901904,-0.0067146043775867525,0.011634230863374562,-0.00669308623053233,-0.008424270863336858,-0.01338737999277162,0.010087603423295066,0.019640142146899464,0.010446398969184312,0.026867787584812453
2018-01-04,0.004644982320043178,0.008801531628840342,0.00388456417120997,-0.0018409769644290863,0.0052711026575928965,0.012041582055987154,0.013201859555189266,0.002828606044821047,0.04935062211353536,-0.02287357143424429,0.0003332024621909291,-0.0012909541121430834,0.0013649733780007889,0.005742862546867622,0.04224101146424353,-0.0042140903101032245,-0.010179400930708349,-0.027502737228341845,0.006973310017027501,-0.017977200311616093,0.011592560275320185,-0.1003788162406265,0.004476012896857506,-0.008289977599700404,-0.007766110397279813,0.0049254958522886305,0.0037470692807204387,0.0023488431145588518,-0.010325540297281277,0.0038023080248430485,-0.0002605364352259443,0.014325609044671062,0.014986820261404965,0.013201013693254993,0.0037183342421585053,0.013513650246668618,-0.004732472501474239,0.005870072344360544,0.004031984926420762,0.009373380095848871,0.006433973543943594,-0.009589648757938773,-0.009177662650704521,-0.007791152944065849,-0.011838543160330062,-0.014080645780985335,0.007432074668668909,0.0013838833187551636,0.01033833565776665,0.011786508029248965
2018-01-05,0.011385482993293339,0.012398044251636708,0.01326023997561454,0.013671065311740893,0.008474482905101555,0.011570762488063657,0.01331067416985987,0.021203172192687525,-0.01980196150035629,0.00227267086998606,0.005925700923210764,0.0076644147014479636,0.006663645481861158,0.005710070397442202,-0.023037546363939176,0.005958402308957389,0.008389950544881453,0.0056144348258626575,0.01711631927761048,0.005544974017915871,-0.020687604315770325,0.01933011141690333,0.016162516530176196,0.006229740634655645,-0.007139061037749861,0.002873353802523626,0.011539016489074516,0.012886015692320063,0.01531235473059911,0.0020517845148819713,0.025674374936960564,-0.00641968267658366,0.013381050364525304,0.008520112794907941,0.023949003987613793,0.0069902842633486895,0.01655488378753467,0.009086180044346914,0.002008026065084101,-0.0030469404121649113,0.009097777769445203,0.025396757822113702,0.003116144861955439,-0.007003718127378877,-0.0021141454312431085,-0.008309641353690944,-0.0011526852196130921,-0.0008062612609194275,-0.021705430202388576,0.016101483785955217
2018-01-08,-0.0037145192143218653,0.0010204472206105653,0.0035305363542774693,0.007653216384617245,0.03064050764011328,-0.001618663308975532,0.007030428739996264,0.009809960902941839,0.033670001235441616,0.020408198571867153,0.00239286268750738,0.0047655707178053675,-0.003009008962878368,0.02417597805912375,-0.0054587352189322536,-0.0002768183662420487,-0.0016104942078052353,-0.0326668943090469,0.007707604402497292,0.033904053335909845,-0.004864754089062839,0.04093128753055919,0.014424678832250848,0.06263821959024418,0.0038880863330472692,-0.005730159731050843,-0.005032627645294885,-0.005089090358262882,0.029981604781723625,0.00850523053322294,0.004447342719547276,0.0014768293183238246,0.008423454683720522,0.007458368261372916,0.004038072026776973,-0.005399031745915273,0.017671478761090542,0.009956030754048273,0.010566751562303578,-0.006258464497479133,-0.01364538750936084,0.0077399717360582265,0.016159321794497528,0.007480415616646141,0.00875675055109193,0.010735744362023736,0.007770609861994737,0.0044957793506523736,0.020285196433705188,-0.009123674770554868
2018-01-09,-0.00011483411800194965,-0.0006796988266459802,-0.0012745384553195516,-0.002177726744709396,-0.00027038263226009107,0.008971053406505725,0.002663979906760261,-0.012921488744754073,-0.03745928730860604,-0.015111075507269978,-0.013846555476834443,0.006840483446289625,-0.015089810124947922,-0.018955563613647253,-0.05664085141388531,0.015393343969170026,0.049730992271743935,-0.010388686879083786,-0.005609056576174387,0.014648181047606679,0.0693208622469621,-0.015151518279136633,0.0046757095740346255,-0.00808538113492141,-0.011619354443513141,0.0007627853423874953,-0.0021917537922713226,-0.0004646168672399753,-0.009213928136697636,0.022645706782451924,0.0017709829508445463,0.005069372793572002,0.0003386276348855688,0.008404210303345261,-0.0019269851525719472,0.008207235628486353,0.008852888631440292,0.010945441301411174,-0.001983218007009513,-0.006736653922406632,0.0032120205428167736,0.00768052469202396,-0.005020272300172102,-0.011667079720844797,-0.011761134868018885,-0.011398829752652273,-0.0267198049125853,-0.004246206928322782,-0.019571242875941808,0.003937447839076125
2018-01-10,-0.00022941404118681508,-0.004534281883389446,-0.0023813773512204595,-0.00015962175374373277,0.007840001432233512,0.0021960560729041845,-0.003206424850122347,0.015336154823019532,0.011844360993009007,-0.004963969316304606,-0.02111732142071676,-0.00625049189051019,-0.0001531078910169681,-0.028436075325728005,0.00791237539203471,-0.002835688389626778,0.007810497397153338,-0.0059407295507916125,0.008781555183738687,0.06579465915547433,-0.000864928505790119,0.07326007530743595,0.0013012055442500614,0.003326413914539472,-0.0046699553693501095,-0.005081359629272253,0.010814521543106803,-0.008374149003976927,0.005627110708809502,-0.028863822655036175,0.0022730634139944694,0.011003883764841405,-0.009196501384321043,-0.004438571156673121,-0.0010916105489063854,0.006922818594393032,-0.01316237263998965,-0.011328773912654078,-0.017160492646734915,-0.004128599634291241,0.011818893255756135,-0.026067179951855146,-0.011077976900372155,-0.00987386445027394,-0.015301803554214621,-0.005503198117374208,-0.0015686874111239257,-0.007951821067913145,0.008555248920235403,0.002473925497370022
2018-01-11,0.005680352815550682,0.0029609161903085823,0.001720674613653772,-0.0003726739602257778,0.0017884376557013582,0.009673441038370756,0.0027573065742536595,0.022209679282373163,0.015050192692446673,0.003628179455129832,0.0025491591386175294,0.008842348868338679,0.002605043642068816,-0.00187614021738991,-0.01131367810361894,-0.004921759556646088,0.004447016075981969,0.004911976703406928,0.006481058470111156,-0.005639947724889849,-0.010511499644236921,-0.006484594937076427,0.01781828254348916,0.009408646715617364,0.02135680679753582,-0.005107060619906401,0.0030087156541707127,-0.0028150652307891155,0.007274337533503816,0.0058185081144350725,0.004787656115597283,0.00535139318590816,0.004498504686989424,0.011945798156926424,0.007228124047659712,0.00528318396520544,0.0035911328945434917,0.021103801472342587,0.012497508185529194,-0.010068073503145314,0.036748921380714394,-0.0007825115833572927,0.012655709635275736,-0.013223193437661096,-0.011078946798120382,0.012121205289881809,0.02050419712024598,0.009874477514963731,0.02827514057564473,0.03232210868493657
2018-01-12,0.010326277439071996,0.017256938059733384,0.016725762830960278,-0.0447356640254718,-0.004909251200822529,0.03244762302681492,0.010448982395361295,0.018366702421403813,-0.009884669041635097,0.015363722992740136,0.0029981247742354444,0.018523404072031235,-0.0007642452850227244,0.004699324081024692,-0.0002337497562252544,0.016926702201846,-0.0005062443798876659,-0.0035302355573327837,-0.002967179537963105,-0.005529622699394499,0.019496713800573717,-0.025249075745130578,0.022339231610462695,-0.005119110235858537,0.012989908644429393,0.0042776042858490015,0.006666808380725531,-0.0009407115890359696,0.0013157482646819485,-0.002970585200572806,0.009905935164771451,0.016510420919957802,0.007029249632391599,0.03273705014561368,0.002085971141110088,0.007282290305384853,0.009541034639332757,0.0126422241787576,0.00907625095707787,0.011965328266932973,-0.0037556583520291786,-0.0025062963486616185,-0.003574715154515906,-0.0081281209432994,-0.018478286062026616,-0.0005210121779868349,0.0018479593824853868,0.0067870307164192845,0.0006108525695698308,0.010086939780405535
2018-01-16,-0.005082333470788236,-0.013951021379267958,4.4223177367186395e-05,-0.005463464687459618,-0.01287098454286395,-0.013278627517905539,-0.012245945574901662,0.0013560858718164592,-0.009151464738964554,-0.013351122238490554,-0.003935076222739919,0.001774104065936477,0.04389723949801483,0.019644499339857013,0.0025693816179483964,0.0027021916175593574,0.015565766894864108,0.00885660450499448,-0.01405677239833436,0.0024580328658252437,-0.013484785532952737,-0.00599119211608623,-0.0002605871874575838,0.011421116241414841,-0.001616040107023653,0.004089414400414881,0.0026490020111979984,0.012243949355960293,-0.007650290851311858,0.012388224794718461,-0.0014899433821514707,-0.003550226030831549,-0.010188955759718676,0.013446674175578543,0.00249829115996425,-0.007418220503544348,-0.0189029139830188,-0.0028055369279391673,-0.002698180035610176,0.008867816763232783,-0.014608667739256953,-0.011149416271187151,-0.0030226195599399874,0.0031006111853795204,0.0005930596131624721,0.002084020841694123,-0.016290252023011376,-0.006284368231889714,-0.017404401090458044,0.016508892401671194
2018-01-17,0.016516572371915617,0.020260096687895635,0.007429165256406467,-0.004428558534412708,0.02094442799436047,0.020939408909448565,0.010561130061960355,-0.018191661632751766,0.022670063914596916,0.0169147065870634,0.009724580318064557,0.05526069307364678,-0.0033700082769703155,0.05210986328102507,0.031221065785195234,0.013312368817699038,0.018566882818565222,0.010426621150495974,0.00822040154200887,0.026257526097172024,0.002609552744633703,-0.001595464506848776,-0.00755630863716783,0.02087858455510405,0.003968329228149825,0.011199608083380497,0.001651176601089821,0.020237147171433545,0.0017655027004261914,0.038878597136755344,0.025491203703968734,0.006413056138517392,0.005459828217982965,0.023996604301218527,0.013206999423080124,0.0032936103160587926,-0.007568930645388439,0.017020454674890217,-0.05844150308644813,0.020216593160591323,-0.00334800842180194,0.012545526086396253,0.01391211788174651,0.008831846672742616,0.011111159015883665,0.016116460233079888,-0.0045306692170336005,0.0118432245353004,0.0009322261694786338,0.018512177137118613
2018-01-18,0.0008933068621497231,-0.0004436595288520584,-0.002747834366838231,0.012387252235472435,-0.0012461121224530691,-0.001475945528089273,0.015721513660269082,0.013011537749191726,0.023809520081029323,0.013750338671780549,0.015010633486095326,-0.023078462303670055,0.0004410314966403206,0.0010463136773126713,-0.00610007527553158,-0.002233996831573992,-0.006973101721668318,-0.0074586411771924155,0.0012739470109190965,0.0022500608705706693,-0.003057237729719775,-0.0007102435323880218,-0.0012972916415299185,-0.007460532163804823,-0.0040564974066318316,-0.001090634813980751,0.007089018438441563,-0.004104020828487709,0.004200301437826459,-0.00894585473164089,0.005699113552863455,0.002389518836148019,0.010464377213138976,0.00470050694418922,0.00926389169705888,-0.003976964963697371,0.0062401828863998254,0.008852125437119218,0.020881152513155143,-0.010482346695951494,0.004078694920071735,-0.013801615505668496,0.020707589252019876,-0.006784581948886426,-0.0065934945543580925,-0.012790970294472737,-0.0016478847472881641,-0.006477361481935562,-0.0006209689714203881,-0.002007139881392228
2018-01-19,-0.0044624569343437726,-0.0011095488471405401,0.006628684187092615,0.008287131442252571,0.025262632669879048,-0.0023955210398250992,0.0014316442839783505,0.0005899596230423132,0.009623086045664753,0.00656305673162394,-0.012638884139488993,0.003608035112275143,-0.00014685306864214986,0.0,-0.02818826975117672,0.00900928955627145,-0.0023405401291635153,0.0006734266967427516,0.004962139876469651,0.0026847939968086543,0.009282653959402642,-0.004086701265546888,0.0009741736041779525,0.015816873268893028,0.004073019600076666,0.009407672843821935,0.0027825120792033253,0.010531131474602828,0.010032738466108748,0.0058672992701400695,0.010851081538475693,-0.002207227596660921,0.0139944465986106,0.01906004363533942,-0.0033304274634959885,0.005767470074774073,-0.009646668004202885,0.01432688310246566,0.008632003259394505,0.008416739121230199,0.01553192901705902,0.013199622354145957,0.0021902472086756664,-0.0055089830204682055,-0.0005899349151330391,-0.016066066648598554,0.002672296254182749,-0.003202670661275775,-0.016464596252869224,0.009106172529678824
2018-01-22,-0.008181786289067072,0.01788890025167178,0.018067270164732863,0.022505471640990038,0.015557735666103856,0.010780159691459623,0.008576686534407685,0.03229610398554206,0.004765644576267158,-0.003477460245604802,-0.01606663685050691,0.022340020351436563,0.009259216157710748,0.0010454386535840854,0.0030406116027426044,0.016113123170116594,0.005309496085521781,0.0116544819431319,0.024941459840223557,0.0016388325763991851,0.006733756483813691,-0.016949166384846448,0.025282411609683475,0.004399674810198428,0.01086879498196569,0.011150754601900736,0.0024486129327476736,0.0031718031893375187,0.020155777429806676,0.013610470003106112,0.0016698936823071886,0.011680465277423169,0.00557593443977078,0.005082367142916766,0.01328455988013122,-0.0009450874167991064,0.004174334475346209,0.007636774694966375,0.010790688791727288,0.0030219476092594455,0.009176447286081357,0.003610183842129411,0.01147387610188022,0.0022152996751068077,0.005460307452072266,0.002106790359666766,0.03637274906143961,0.012621782933339709,0.03032184656618253,0.0017715332822876295
2018-01-23,0.00022622975584507543,0.003165234478838652,0.010316446031356286,0.02147054331420506,0.022337411766220727,0.01137282673700235,0.0031004028699641584,0.09978908367643768,0.022924898861516274,-0.002181074983344522,0.0030141161551964224,0.0037677933408883924,-0.004805769759908429,0.005743143375567472,0.024953611904541706,-0.0017672564350343922,-0.00565028899802289,0.015564349598407023,0.02884317252373836,0.01292802074019428,-0.009176576877086284,0.011796761231929853,0.02654236704761037,0.0034987229726255453,-0.00493891845634542,-0.0017281113915273982,0.0045594355765798955,0.004968307494484181,0.008970402704349345,0.010033943320924665,0.0027387253629111985,-0.0010495703193760253,0.004282136038477491,-0.006034410965994774,0.0025738910693109407,0.006622691437895067,-0.010912478718485219,0.0008718020222653333,0.0014723677902712673,0.004160916540386417,-0.010492061960724275,0.009227358357098758,-0.0027008777852801646,0.010833763739862556,0.009393914777387158,0.01261500990848119,0.0007560413491782825,0.0005670711246981153,0.020846260861953736,0.0070737706597641115
2018-01-24,-0.01592846125991787,-0.0008697828971586663,-0.004149137693555627,-0.014787268248940388,-0.01301726841136619,-0.01154479284757881,-0.0034440508036973627,0.04398896726544921,-0.017774308322621724,-0.010928899668246395,-0.022974536696789172,-0.08499453698218562,-0.005267528118131692,-0.015746557184433185,-0.019795208599967973,-0.007083889035578661,0.004323576227174497,0.004217904769509229,0.005222686442696967,-0.004709378641124529,-0.001852313270544803,0.0356950973716017,-0.0036915667119321594,-0.019558338950656062,0.004239646304961209,-0.0013190590906371202,-0.013940647853862731,0.002022969949969422,0.00047833168623290234,-0.002483538006201158,-0.005937493595655319,0.012783453531747258,0.000984130414993123,-0.003408423714802322,-0.0008023853866672148,0.0023808367245319317,-0.0040279832947450744,-0.00623183753161094,0.04502864012292518,-0.028146963738513886,0.012959657489761467,0.007283369691465369,0.018767752676455585,-0.003718281151743774,-0.004216886298790801,-0.008305421005243452,-0.014738157305380195,0.0026044276210168693,-0.0018015594049846095,0.010152039438565685
