Date,KLAC,LRCX,SNPS,CDNS,PANW,MRVL,NXPI,IDXX,ALNY,INCY,HOLX,EXAS,BMRN,LULU,ROST,EBAY,ORLY,DLTR,MS,BX,MCO,MSCI,VRSK,EXPD,CSGP,POOL,CCOI,IRDM,SIRI,EVRG,NWE,MSEX,MTDR,RRC,AR
2018-02-02,1504800,55276000,1017500,3802900,4954200,9945300,2626200,770600,787400,2394500,1921760,2041920,1391300,1593800,3230000,19255600,22051500,2159900,9783700,8404900,786700,749900,1086600,965600,1840000,155100,540900,774900,2062630,483100,336900,43600,1529400,12546000,3368400
2018-02-05,1885800,58953000,1488000,3299100,8480400,9355000,5072500,1240100,997900,2369500,3405814,2721700,2175000,2085700,3673300,19100200,21138000,2024700,13439000,9027500,1363100,677700,1257500,1804600,2677000,270400,376600,853300,3000440,728200,380900,85800,1758500,13362400,3946600
2018-02-06,2185600,58903000,1815700,4281900,7833600,13422400,4431900,1381600,1223200,2288900,2480853,1927342,1926000,4084100,3034500,18686100,21072000,2850500,17628700,10017700,1982000,1200800,1246900,1799800,3265000,282400,272100,835200,3504550,1077200,484400,140100,2170200,13161600,5977500
2018-02-07,1631100,34033000,1431400,2765400,4534800,8684400,3993200,681500,714300,1254600,2657711,2115191,2069800,3060500,2219200,11379200,26026500,2124700,11541700,5240900,1034000,745400,940100,1621400,1158000,143100,234400,645000,2311660,464200,235300,91500,1668500,10740200,4939400
2018-02-08,2399000,49344000,1827400,3622400,10378200,11758100,5688000,828700,978300,1930400,3177533,2083019,1440400,2618400,3438500,14996800,38899500,3005300,14073100,8691200,1665200,1023200,1038200,1404200,1869000,192300,378400,524500,2894310,881500,399700,71900,1480700,10770400,4963300
2018-02-09,1734600,59371000,1718700,3471600,6638400,9943700,4053400,726200,1304400,2399200,8335009,2981317,2215800,2674200,3907800,15976200,27555000,4168800,15736400,11010700,2309600,849200,1134700,1370100,1749000,295200,356200,1056100,3365800,1031700,408200,75800,1230400,12940100,5466700
2018-02-12,1755800,41507000,908800,2422400,8026800,6651400,1876100,421300,566600,1745100,4473250,2410352,1564500,2511700,2302200,11821400,14167500,5204200,11712900,4475800,1214600,498600,900200,1817800,1527000,224300,273600,729100,1582780,1023300,662300,115300,1309600,8504700,3449800
2018-02-13,2036400,28416000,752500,2561100,8867400,10983200,1903400,1205000,508000,1661900,3386140,1877674,1148500,3424200,1369100,10415600,11296500,2483200,8659500,12708700,754000,569100,800200,1384100,2456000,150600,253000,544300,1702420,661500,629400,52000,1161100,5099600,4250500
2018-02-14,2065000,58370000,1292600,2723700,8103600,6607300,4370300,1004000,497800,2243800,3320790,1526804,1436900,3189900,1996700,9930100,16431000,2642000,10536300,5930000,1356900,688400,916000,1267000,2163000,302100,237700,398500,1905380,684900,688900,68300,969200,9274100,5941500
2018-02-15,2950300,41792000,1414100,2546200,7997400,6664200,2289300,591200,736300,2489000,2829148,1921102,786800,2867800,2184700,10402800,12652500,1975900,7769900,6964500,934100,963500,937600,1226500,1737000,660800,159500,333300,2345000,602500,376300,30200,1402300,11773300,4705900
